product_id,tn
20001,1180.8739
20002,986.4624
20003,699.3355
20004,528.9235
20005,504.3623
20006,447.2874
20007,370.3400
20008,391.5233
20009,476.7043
20010,350.2067
20011,362.2666
20012,305.8453
20013,384.3283
20014,355.5195
20015,352.3103
20016,279.6912
20017,275.0404
20018,252.3908
20019,323.5260
20020,261.8522
20021,235.0550
20022,239.6218
20023,236.1346
20024,219.2303
20025,212.7214
20026,243.0111
20027,227.0521
20028,213.3718
20029,171.2091
20030,188.7461
20031,183.1046
20032,492.0413
20033,149.8784
20035,155.5532
20037,158.1740
20038,176.7636
20039,145.3525
20041,142.5980
20042,169.6255
20043,127.6277
20044,157.9061
20045,147.5400
20046,146.0672
20047,161.5656
20049,175.4171
20050,124.8562
20051,123.6062
20052,118.9008
20053,142.4446
20054,145.7821
20055,101.2546
20056,105.5472
20057,132.5270
20058,115.2674
20059,138.1042
20061,137.7807
20062,91.9838
20063,123.9314
20065,117.0667
20066,115.3262
20067,115.6644
20068,113.0080
20069,122.9730
20070,104.6865
20071,111.4842
20072,93.6200
20073,95.1179
20074,84.0680
20075,125.5058
20076,97.6563
20077,103.3027
20079,54.0570
20080,104.8282
20081,92.6213
20082,84.3810
20084,100.5742
20085,183.3435
20086,61.8793
20087,77.2269
20089,152.9589
20090,82.0384
20091,95.9509
20092,62.8669
20093,80.8123
20094,104.6211
20095,72.5226
20096,68.2618
20097,63.6932
20099,73.7623
20100,66.7502
20101,77.5644
20102,49.7457
20103,79.5427
20106,69.9239
20107,78.2039
20108,61.5894
20109,66.5990
20111,71.6701
20112,81.5194
20114,62.4983
20116,89.2998
20117,49.0440
20118,57.0310
20119,65.0762
20120,59.1571
20121,77.6872
20122,66.6824
20123,61.5146
20124,58.8415
20125,62.0363
20126,110.2080
20127,121.8427
20129,61.8332
20130,96.9612
20132,59.2316
20133,55.5595
20134,62.2402
20135,81.1121
20137,55.8930
20138,39.2510
20139,53.6481
20140,56.6622
20142,57.3917
20143,82.0331
20144,56.0819
20145,50.4966
20146,38.4943
20148,65.4812
20150,84.8225
20151,43.8851
20152,52.8789
20153,45.6459
20155,45.0316
20157,46.1280
20158,50.8705
20159,71.5619
20160,49.3661
20161,53.1318
20162,40.4751
20164,61.2504
20166,48.4964
20167,38.2205
20168,28.7608
